DateTime,cpu %user,cpu %nice,cpu %sys,cpu %iowait,cpu %steal,%idle,Total Memory,Used Memory,Free Memory,Shared Memory,Buffers Memory,Cached Memory,Load-1Min,Load-5Min,Load-15Min,Server Status
09-04-2019 14:30,3.03,0,7.07,0,0,89.9,7823,5320,971,283,1530,1857,0.07,0.25,0.34,Warning
09-04-2019 14:35,4.55,0,7.58,0,0,87.88,7823,5607,679,283,1536,1566,0.11,0.2,0.3,Warning
09-04-2019 14:35,1.02,0,0.51,0,0,98.48,7823,5425,862,283,1535,1750,0.29,0.31,0.32,Warning
09-04-2019 14:40,15.74,0,6.6,0,0,77.66,7823,5843,436,283,1543,1326,1.36,0.64,0.43,Critical
09-04-2019 14:45,5.58,0,2.03,0,0,92.39,7823,5632,648,283,1541,1540,1.08,0.57,0.44,Warning
09-04-2019 14:50,3.03,0,9.09,0,0,87.88,7823,5177,1107,283,1538,2001,0.02,0.29,0.36,Warning
09-04-2019 14:55,5.53,0,8.54,0,0,85.93,7823,5710,567,283,1544,1462,0.08,0.27,0.35,Critical
09-04-2019 15:00,9.09,0,17.17,0,0,73.74,7823,5516,761,283,1545,1658,0.11,0.26,0.33,Warning
09-04-2019 15:05,32.66,0,13.07,0,0,54.27,7823,5387,890,283,1545,1789,0.41,0.34,0.34,Warning
09-04-2019 15:10,5.08,0,8.63,0,0,86.29,7823,5618,654,283,1549,1555,0.94,0.56,0.42,Warning
09-04-2019 15:15,4,0,8,0,0,88,7823,5647,621,283,1553,1524,0.17,0.5,0.46,Critical
09-04-2019 15:20,3.05,0,7.11,0,0,89.85,7823,5293,979,283,1549,1883,0.25,0.34,0.4,Warning
09-04-2019 15:25,4.55,0,13.64,0,0,81.82,7823,5410,859,283,1552,1764,0.71,0.43,0.41,Warning
09-04-2019 15:30,4.55,0,10.61,0,0,84.85,7823,5253,1013,283,1556,1924,0.77,0.55,0.45,Warning
09-04-2019 15:35,5.05,0,10.1,0,0,84.85,7823,5450,813,283,1559,1725,0.14,0.39,0.43,Warning
09-04-2019 15:40,14.14,0,13.64,0,0,72.22,7823,5399,862,283,1560,1777,0.31,0.36,0.4,Warning
09-04-2019 15:45,6.19,0,11.34,0,0,82.47,7823,5664,592,283,1565,1508,0.91,0.4,0.39,Critical
09-04-2019 15:50,4.55,0,9.6,0,0,85.86,7823,5451,805,283,1565,1722,0.41,0.42,0.4,Warning
09-04-2019 15:55,14.14,0,5.56,0,0,80.3,7823,5387,870,283,1565,1790,0.36,0.42,0.41,Warning
09-04-2019 16:00,3.57,0,10.2,0,0,86.22,7823,5387,868,283,1566,1789,0.14,0.28,0.36,Warning
09-04-2019 16:05,2.01,0,2.01,0,0,95.98,7823,5555,696,283,1570,1619,0.48,0.32,0.34,Warning
